Daerah,Tahun,Bulan,Produksi (Ton)
Jawa Timur,2018,Januari,211336.91
Jawa Timur,2018,Februari,960555.39
Jawa Timur,2018,Maret,2293296.4
Jawa Timur,2018,April,1345462.55
Jawa Timur,2018,Mei,635297.04
Jawa Timur,2018,Juni,923599.84
Jawa Timur,2018,Juli,1190086.94
Jawa Timur,2018,Agustus,716395.27
Jawa Timur,2018,September,624663.23
Jawa Timur,2018,Oktober,489721.49
Jawa Timur,2018,November,470151.11
Jawa Timur,2018,Desember,342647.0
Jawa Timur,2019,Januari,314228.76
Jawa Timur,2019,Februari,442558.79
Jawa Timur,2019,Maret,1933799.6
Jawa Timur,2019,April,1857128.26
Jawa Timur,2019,Mei,616134.88
Jawa Timur,2019,Juni,806305.87
Jawa Timur,2019,Juli,1071320.17
Jawa Timur,2019,Agustus,750277.4
Jawa Timur,2019,September,516564.94
Jawa Timur,2019,Oktober,501296.0
Jawa Timur,2019,November,499059.44
Jawa Timur,2019,Desember,272259.77
Jawa Timur,2020,Januari,288721.13
Jawa Timur,2020,Februari,345241.4
Jawa Timur,2020,Maret,1324020.59
Jawa Timur,2020,April,2243967.32
Jawa Timur,2020,Mei,992091.94
Jawa Timur,2020,Juni,603419.93
Jawa Timur,2020,Juli,1135872.36
Jawa Timur,2020,Agustus,924107.6
Jawa Timur,2020,September,599080.95
Jawa Timur,2020,Oktober,618298.54
Jawa Timur,2020,November,603416.14
Jawa Timur,2020,Desember,266300.36
Jawa Timur,2021,Januari,300797.15
Jawa Timur,2021,Februari,507757.43
Jawa Timur,2021,Maret,2192542.16
Jawa Timur,2021,April,1659178.45
Jawa Timur,2021,Mei,532441.85
Jawa Timur,2021,Juni,811440.39
Jawa Timur,2021,Juli,1200996.28
Jawa Timur,2021,Agustus,715158.77
Jawa Timur,2021,September,484774.35
Jawa Timur,2021,Oktober,493039.28
Jawa Timur,2021,November,520043.05
Jawa Timur,2021,Desember,371418.51
Jawa Timur,2022,Januari,280648.72
Jawa Timur,2022,Februari,649333.11
Jawa Timur,2022,Maret,2287460.65
Jawa Timur,2022,April,1419038.92
Jawa Timur,2022,Mei,532767.5
Jawa Timur,2022,Juni,823022.04
Jawa Timur,2022,Juli,1057836.95
Jawa Timur,2022,Agustus,641197.02
Jawa Timur,2022,September,460667.77
Jawa Timur,2022,Oktober,485091.07
Jawa Timur,2022,November,547787.36
Jawa Timur,2022,Desember,341664.56
Jawa Timur,2023,Januari,319104.79
Jawa Timur,2023,Februari,978255.37
Jawa Timur,2023,Maret,2109963.82
Jawa Timur,2023,April,1187207.4
Jawa Timur,2023,Mei,626767.96
Jawa Timur,2023,Juni,940075.2
Jawa Timur,2023,Juli,924228.51
Jawa Timur,2023,Agustus,743342.68
Jawa Timur,2023,September,528980.73
Jawa Timur,2023,Oktober,428914.0
Jawa Timur,2023,November,485115.13
Jawa Timur,2023,Desember,438705.74
Jawa Timur,2024,Januari,277035.02
Jawa Timur,2024,Februari,310234.48
Jawa Timur,2024,Maret,1321465.79
Jawa Timur,2024,April,2135744.25
Jawa Timur,2024,Mei,865264.09
Jawa Timur,2024,Juni,649671.78
Jawa Timur,2024,Juli,889962.44
Jawa Timur,2024,Agustus,866020.53
Jawa Timur,2024,September,652260.74
Jawa Timur,2024,Oktober,471937.28
Jawa Timur,2024,November,462469.22
Jawa Timur,2024,Desember,368369.67
Kabupaten Bangkalan,2018,Januari,4739.48
Kabupaten Bangkalan,2018,Februari,46564.49
Kabupaten Bangkalan,2018,Maret,68927.85
Kabupaten Bangkalan,2018,April,27021.81
Kabupaten Bangkalan,2018,Mei,12847.5
Kabupaten Bangkalan,2018,Juni,27605.63
Kabupaten Bangkalan,2018,Juli,37426.82
Kabupaten Bangkalan,2018,Agustus,10502.98
Kabupaten Bangkalan,2018,September,7624.38
Kabupaten Bangkalan,2018,Oktober,450.79
Kabupaten Bangkalan,2018,November,0.0
Kabupaten Bangkalan,2018,Desember,0.0
Kabupaten Bangkalan,2019,Januari,746.65
Kabupaten Bangkalan,2019,Februari,7657.79
Kabupaten Bangkalan,2019,Maret,63895.8
Kabupaten Bangkalan,2019,April,49343.02
Kabupaten Bangkalan,2019,Mei,5353.23
Kabupaten Bangkalan,2019,Juni,13094.25
Kabupaten Bangkalan,2019,Juli,39003.24
Kabupaten Bangkalan,2019,Agustus,15146.86
Kabupaten Bangkalan,2019,September,175.53
Kabupaten Bangkalan,2019,Oktober,1202.03
Kabupaten Bangkalan,2019,November,4281.5
Kabupaten Bangkalan,2019,Desember,1720.1
Kabupaten Bangkalan,2020,Januari,450.34
Kabupaten Bangkalan,2020,Februari,2437.42
Kabupaten Bangkalan,2020,Maret,22119.61
Kabupaten Bangkalan,2020,April,79013.4
Kabupaten Bangkalan,2020,Mei,14266.47
Kabupaten Bangkalan,2020,Juni,12519.43
Kabupaten Bangkalan,2020,Juli,23824.46
Kabupaten Bangkalan,2020,Agustus,28797.02
Kabupaten Bangkalan,2020,September,11475.66
Kabupaten Bangkalan,2020,Oktober,7309.78
Kabupaten Bangkalan,2020,November,4642.08
Kabupaten Bangkalan,2020,Desember,439.22
Kabupaten Bangkalan,2021,Januari,3544.14
Kabupaten Bangkalan,2021,Februari,19609.59
Kabupaten Bangkalan,2021,Maret,84099.46
Kabupaten Bangkalan,2021,April,16866.14
Kabupaten Bangkalan,2021,Mei,4767.71
Kabupaten Bangkalan,2021,Juni,22824.7
Kabupaten Bangkalan,2021,Juli,24811.71
Kabupaten Bangkalan,2021,Agustus,4226.72
Kabupaten Bangkalan,2021,September,4650.43
Kabupaten Bangkalan,2021,Oktober,7429.14
Kabupaten Bangkalan,2021,November,2493.55
Kabupaten Bangkalan,2021,Desember,0.0
Kabupaten Bangkalan,2022,Januari,1539.38
Kabupaten Bangkalan,2022,Februari,25496.13
Kabupaten Bangkalan,2022,Maret,85040.0
Kabupaten Bangkalan,2022,April,12486.32
Kabupaten Bangkalan,2022,Mei,4600.06
Kabupaten Bangkalan,2022,Juni,26236.55
Kabupaten Bangkalan,2022,Juli,23280.48
Kabupaten Bangkalan,2022,Agustus,9726.37
Kabupaten Bangkalan,2022,September,3727.23
Kabupaten Bangkalan,2022,Oktober,5158.06
Kabupaten Bangkalan,2022,November,832.13
Kabupaten Bangkalan,2022,Desember,0.0
Kabupaten Bangkalan,2023,Januari,2459.47
Kabupaten Bangkalan,2023,Februari,49493.78
Kabupaten Bangkalan,2023,Maret,65721.06
Kabupaten Bangkalan,2023,April,7946.81
Kabupaten Bangkalan,2023,Mei,5804.55
Kabupaten Bangkalan,2023,Juni,30161.47
Kabupaten Bangkalan,2023,Juli,16252.19
Kabupaten Bangkalan,2023,Agustus,6864.08
Kabupaten Bangkalan,2023,September,1554.55
Kabupaten Bangkalan,2023,Oktober,0.0
Kabupaten Bangkalan,2023,November,0.0
Kabupaten Bangkalan,2023,Desember,0.0
Kabupaten Bangkalan,2024,Januari,0.0
Kabupaten Bangkalan,2024,Februari,1830.8
Kabupaten Bangkalan,2024,Maret,55150.77
Kabupaten Bangkalan,2024,April,52497.07
Kabupaten Bangkalan,2024,Mei,9712.89
Kabupaten Bangkalan,2024,Juni,4959.96
Kabupaten Bangkalan,2024,Juli,31986.05
Kabupaten Bangkalan,2024,Agustus,20606.3
Kabupaten Bangkalan,2024,September,4886.42
Kabupaten Bangkalan,2024,Oktober,3473.43
Kabupaten Bangkalan,2024,November,793.82
Kabupaten Bangkalan,2024,Desember,3264.39
Kabupaten Banyuwangi,2018,Januari,27729.16
Kabupaten Banyuwangi,2018,Februari,16986.49
Kabupaten Banyuwangi,2018,Maret,78457.91
Kabupaten Banyuwangi,2018,April,79122.96
Kabupaten Banyuwangi,2018,Mei,46085.58
Kabupaten Banyuwangi,2018,Juni,19269.02
Kabupaten Banyuwangi,2018,Juli,38857.35
Kabupaten Banyuwangi,2018,Agustus,55969.32
Kabupaten Banyuwangi,2018,September,48805.21
Kabupaten Banyuwangi,2018,Oktober,37380.94
Kabupaten Banyuwangi,2018,November,29969.24
Kabupaten Banyuwangi,2018,Desember,35895.6
Kabupaten Banyuwangi,2019,Januari,42968.7
Kabupaten Banyuwangi,2019,Februari,17787.12
Kabupaten Banyuwangi,2019,Maret,43133.11
Kabupaten Banyuwangi,2019,April,89701.12
Kabupaten Banyuwangi,2019,Mei,50908.06
Kabupaten Banyuwangi,2019,Juni,17665.52
Kabupaten Banyuwangi,2019,Juli,16608.71
Kabupaten Banyuwangi,2019,Agustus,35445.64
Kabupaten Banyuwangi,2019,September,47464.33
Kabupaten Banyuwangi,2019,Oktober,47640.36
Kabupaten Banyuwangi,2019,November,21780.55
Kabupaten Banyuwangi,2019,Desember,14150.64
Kabupaten Banyuwangi,2020,Januari,28464.04
Kabupaten Banyuwangi,2020,Februari,12444.66
Kabupaten Banyuwangi,2020,Maret,11500.74
Kabupaten Banyuwangi,2020,April,64315.19
Kabupaten Banyuwangi,2020,Mei,90760.31
Kabupaten Banyuwangi,2020,Juni,40597.42
Kabupaten Banyuwangi,2020,Juli,15234.87
Kabupaten Banyuwangi,2020,Agustus,24406.35
Kabupaten Banyuwangi,2020,September,55818.6
Kabupaten Banyuwangi,2020,Oktober,70908.93
Kabupaten Banyuwangi,2020,November,40522.49
Kabupaten Banyuwangi,2020,Desember,15859.03
Kabupaten Banyuwangi,2021,Januari,33016.86
Kabupaten Banyuwangi,2021,Februari,30863.99
Kabupaten Banyuwangi,2021,Maret,65597.35
Kabupaten Banyuwangi,2021,April,87637.38
Kabupaten Banyuwangi,2021,Mei,31410.39
Kabupaten Banyuwangi,2021,Juni,26618.5
Kabupaten Banyuwangi,2021,Juli,38005.03
Kabupaten Banyuwangi,2021,Agustus,44205.66
Kabupaten Banyuwangi,2021,September,35292.57
Kabupaten Banyuwangi,2021,Oktober,49365.41
Kabupaten Banyuwangi,2021,November,31435.71
Kabupaten Banyuwangi,2021,Desember,40041.22
Kabupaten Banyuwangi,2022,Januari,32500.03
Kabupaten Banyuwangi,2022,Februari,14607.79
Kabupaten Banyuwangi,2022,Maret,59482.3
Kabupaten Banyuwangi,2022,April,84143.21
Kabupaten Banyuwangi,2022,Mei,40645.75
Kabupaten Banyuwangi,2022,Juni,25340.22
Kabupaten Banyuwangi,2022,Juli,26836.06
Kabupaten Banyuwangi,2022,Agustus,25156.4
Kabupaten Banyuwangi,2022,September,37248.67
